Main New Gloss Cat,Consultant,Main New Gloss,Gloss Variant,D Start HS,N-D Start HS,D End HS,N-D End HS,Passive Arm,Combined,Separate,Session,Scene,Start,End,Combined,Separate
WATER+FLOW,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,WATER+FLOW_2,WATER+FLOW_2,W,,flat-B,flat-B,N,,MOV,ASL_2008_01_18,8,3616,3690,,MOV
,Liz,WATER+FLOW_2,WATER+FLOW_2,5,,5,5,N,,MOV,ASL_2008_01_18,45,1132,1187,,MOV
,Naomi,WATER+FLOW_2,WATER+FLOW_2,W,5,5,5,N,MOV,MOV,ASL_2008_08_06,8,4883,4931,MOV,MOV
,Naomi,WATER+FLOW_2,WATER+FLOW_2,W,5,5,5,N,,MOV,ASL_2008_08_06,45,1083,1130,,MOV
,Brady,WATER+FLOW_2,WATER+FLOW_2,W,5,5,5,N,,MOV,ASL_2011_06_14_Brady,3,10428,10464,,MOV
,Brady,WATER+FLOW_2,WATER+FLOW_2,W,,5,,N,,MOV,ASL_2011_06_14_Brady,20,3496,3535,,MOV
HEAR+SHUT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,HEAR+SHUT,HEAR+SHUT,1,,B,B,N,MOV,MOV,ASL_2008_01_18,12,2555,2625,MOV,MOV
,Naomi,HEAR+SHUT,HEAR+SHUT,1,B,B,B,N,,MOV,ASL_2008_08_06,12,2762,2795,,MOV
THINK+DECIDE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,THINK+DECIDE,THINK+DECIDE,1,F/9,F/9,F/9,N,,MOV,ASL_2008_01_18,13,1220,1273,,MOV
,Tyler,THINK+DECIDE,THINK+DECIDE,1,F/9,F/9,F/9,N,MOV,MOV,ASL_2008_05_12b,13,1321,1352,MOV,MOV
,Naomi,THINK+DECIDE,THINK+DECIDE,1,,F/9,F/9,N,,MOV,ASL_2008_08_06,13,1202,1230,,MOV
,Brady,THINK+DECIDE,THINK+DECIDE,1,F/9,F/9,F/9,N,,MOV,ASL_2011_06_14_Brady,3,11784,11802,,MOV
DRY+AREA,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DRY+AREA,DRY+AREA,1,,5,5,N,MOV,MOV,ASL_2008_01_18,15,1103,1170,MOV,MOV
,Brady,DRY+AREA,DRY+AREA,1,5,5,5,N,,MOV,ASL_2011_06_14_Brady,4,310,351,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,DRY+AREA,DRY+AREA_2,1,,5,5,N,MOV,MOV,ASL_2008_05_12b,15,837,903,MOV,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Naomi,DRY+AREA,DRY+(1h)AREA,1,,5,,N,MOV,MOV,ASL_2008_08_06,15,1060,1117,MOV,MOV
WASHING-MACHINE+SOAP,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,WASHING-MACHINE+SOAP,WASHING-MACHINE+SOAP+,crvd-5,crvd-5,crvd-B,B-L,N,,MOV,ASL_2008_01_18,15,2425,2507,,MOV
,Naomi,WASHING-MACHINE+SOAP,WASHING-MACHINE+SOAP+,crvd-5,crvd-5,bent-B-L,B-L,N,MOV,MOV,ASL_2008_08_06,15,3520,3581,MOV,MOV
,Brady,WASHING-MACHINE+SOAP,WASHING-MACHINE+SOAP++,crvd-5,crvd-5,10,B-L,N,,MOV,ASL_2011_06_14_Brady,4,880,926,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,WASHING-MACHINE+SOAP,SOAP++WASHING-MACHINE,B-L,B-L,crvd-5,crvd-5,N,MOV,MOV,ASL_2008_05_12b,15,2681,2736,MOV,MOV
PHONE+PUSH-BUTTONS,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,PHONE+PUSH-BUTTONS,PHONE+PUSH-BUTTONS,Y,,25,,N,,MOV,ASL_2008_01_18,16,2975,3077,,MOV
,Naomi,PHONE+PUSH-BUTTONS,PHONE+PUSH-BUTTONS,Y,,25,,N,MOV,MOV,ASL_2008_08_06,16,3992,4041,MOV,MOV
,Brady,PHONE+PUSH-BUTTONS,PHONE+PUSH-BUTTONS,I-L-Y,,25,,N,,MOV,ASL_2011_06_14_Brady,4,1230,1282,,MOV
,Brady,PHONE+PUSH-BUTTONS,PHONE+PUSH-BUTTONS,Y,,25,,N,,MOV,ASL_2011_06_14_Brady,5,187,238,,MOV
MANAGE/CONTROL+AGENT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,MANAGE/CONTROL+AGENT,MANAGE/CONTROL+AGENT,X,X,B-L,B-L,N,,MOV,ASL_2008_01_18,17,253,322,,MOV
,Liz,MANAGE/CONTROL+AGENT,MANAGE/CONTROL+AGENT,X,X,B-L,B-L,N,,MOV,ASL_2008_02_01,57,2260,2312,,MOV
,Tyler,MANAGE/CONTROL+AGENT,MANAGE/CONTROL+AGENT,X,X,B-L,B-L,N,,MOV,ASL_2008_06_10,9,2391,2437,,MOV
,Naomi,MANAGE/CONTROL+AGENT,MANAGE/CONTROL+AGENT,X,X,B-L,B-L,N,MOV,MOV,ASL_2008_08_06,16,4493,4535,MOV,MOV
,Naomi,MANAGE/CONTROL+AGENT,MANAGE/CONTROL+AGENT,X,X,B-L,B-L,N,,MOV,ASL_2008_08_13_session2,12,2385,2437,,MOV
,Brady,MANAGE/CONTROL+AGENT,MANAGE/CONTROL+AGENT,X,X,B-L,B-L,N,,MOV,ASL_2011_06_14_Brady,4,1488,1520,,MOV
,Brady,MANAGE/CONTROL+AGENT,MANAGE/CONTROL+AGENT,X,X,B-L,B-L,N,,MOV,ASL_2011_06_14_Brady,5,446,486,,MOV
,Brady,MANAGE/CONTROL+AGENT,MANAGE/CONTROL+AGENT,X,X,B-L,B-L,N,,MOV,ASL_2011_06_14_Brady,54,1429,1461,,MOV
CENT+TEN,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,CENT+TEN,CENT+TEN,L,,10,,N,,MOV,ASL_2008_01_18,17,2025,2087,,MOV
,Tyler,CENT+TEN,CENT+TEN,1,,10,,N,,MOV,ASL_2008_05_12b,16,2166,2197,,MOV
,Naomi,CENT+TEN,CENT+TEN,L,,10,,N,MOV,MOV,ASL_2008_08_06,17,2733,2745,MOV,MOV
,Brady,CENT+TEN,CENT+TEN,L,,10,,N,,MOV,ASL_2011_06_14_Brady,4,1979,1996,,MOV
,Brady,CENT+TEN,CENT+TEN,1,,10,,N,,MOV,ASL_2011_06_14_Brady,5,684,704,,MOV
EAT+BOX/ROOM,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,EAT+BOX/ROOM,EAT+BOX/ROOM,flat-O,B-L,B-L,B-L,N,,MOV,ASL_2008_01_18,17,2549,2624,,MOV
,Naomi,EAT+BOX/ROOM,EAT++BOX/ROOM,flat-O,B-L,B-L,B-L,N,MOV,MOV,ASL_2008_08_06,17,3756,3812,MOV,MOV
,Brady,EAT+BOX/ROOM,EAT++BOX/ROOM,flat-O,B-L,B-L,B-L,N,,MOV,ASL_2011_06_14_Brady,4,2304,2332,,MOV
,Brady,EAT+BOX/ROOM,EAT++BOX/ROOM,flat-O,B-L,B-L,B-L,N,,MOV,ASL_2011_06_14_Brady,5,1082,1120,,MOV
DIRECT+AGENT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DIRECT+AGENT,DIRECT+AGENT,D,D,B-L,B-L,N,,MOV,ASL_2008_01_18,18,1991,2052,,MOV
,Tyler,DIRECT+AGENT,DIRECT+AGENT,D,D,B-L,B-L,N,MOV,MOV,ASL_2008_05_12b,17,2020,2064,MOV,MOV
,Naomi,DIRECT+AGENT,DIRECT+AGENT,D,D,B-L,B-L,N,,MOV,ASL_2008_08_06,18,1915,1956,,MOV
,Brady,DIRECT+AGENT,DIRECT+AGENT,D,D,B-L,B-L,N,,MOV,ASL_2011_06_14_Brady,5,1867,1888,,MOV
THINK+MESSED-UP,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,THINK+MESSED-UP,THINK+MESSED-UP,1,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2008_01_18,20,965,1020,,MOV
,Tyler,THINK+MESSED-UP,THINK+MESSED-UP,1,crvd-5,crvd-5,crvd-5,N,MOV,MOV,ASL_2008_05_12b,19,971,1009,MOV,MOV
,Naomi,THINK+MESSED-UP,THINK+MESSED-UP,1,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2008_08_06,20,757,791,,MOV
,Brady,THINK+MESSED-UP,THINK+MESSED-UP,1,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2011_06_14_Brady,5,2582,2613,,MOV
#DOG,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,#DOG,#DOG++,D,,baby-O,,N,,MOV,ASL_2008_01_18,21,1077,1110,,MOV
,Tyler,#DOG,#DOG+,D,,flat-G,,N,,MOV,ASL_2008_05_29a,1,3946,3984,,MOV
,Naomi,#DOG,#DOG+,D,,baby-O,,N,MOV,MOV,ASL_2008_08_06,21,1707,1730,MOV,MOV
,Brady,#DOG,#DOG+,D,,G/Q,,N,,MOV,ASL_2011_06_08_Brady,37,830,851,,MOV
,Lana,#DOG,#DOG+,D,,G/Q,,N,,MOV,ASL_2006_10_10,7,640,662,,MOV
,Dana,#DOG,#DOG++,D,,G/Q,,N,,MOV,ASL_2007_05_24,11,675,735,,MOV
DRY+SPIN,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,DRY+(nd-C)SPIN,DRY+(nd-C)SPIN,1,,1,C,N,,MOV,ASL_2008_01_18,25,2390,2492,,MOV
,Naomi,DRY+(nd-C)SPIN,DRY+(nd-C)SPIN,1,,1,crvd-5,N,MOV,MOV,ASL_2008_08_06,25,3257,3330,MOV,MOV
,Brady,DRY+(nd-C)SPIN,DRY++(nd-C)SPIN,1,crvd-B,1,crvd-B,N,,MOV,ASL_2011_06_14_Brady,8,869,912,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,DRY+(nd-C)SPIN,DRY+WASHING-MACHINE,1,crvd-5,crvd-5,crvd-5,N,MOV,MOV,ASL_2008_05_29a,5,3562,3625,MOV,MOV
,Brady,DRY+(nd-C)SPIN,DRY++WASHING-MACHINE,1,crvd-5,crvd-5,crvd-5,N,,MOV,ASL_2011_06_14_Brady,8,2810,2861,,MOV
EAR+EAR-HURT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Naomi,EAR+EAR-HURT,EAR+EAR-HURT,1,,bent-1,bent-1,N,MOV,MOV,ASL_2008_08_06,27,604,655,MOV,MOV
#EARLY,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,#EARLY,#EARLY,E,,Y,,N,,MOV,ASL_2008_01_18,27,1136,1202,,MOV
,Liz,#EARLY,#EARLY,E,,Y,,N,MOV,MOV,ASL_2008_01_18,27,1610,1667,MOV,MOV
,Brady,#EARLY,#EARLY,E,,Y,,N,,MOV,ASL_2011_06_14_Brady,9,4808,4841,,MOV
,Brady,#EARLY,#EARLY,E,,Y,,N,,MOV,ASL_2011_06_14_Brady,9,5366,5401,,MOV
EARTH+RUMBLE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,EARTH+RUMBLE,EARTH+RUMBLE,open-8,B-L,S,S,N,,MOV,ASL_2008_01_18,28,415,475,,MOV
,Tyler,EARTH+RUMBLE,EARTH+RUMBLE,open-8,B-L,S,S,N,MOV,MOV,ASL_2008_05_29a,7,3164,3203,MOV,MOV
,Naomi,EARTH+RUMBLE,EARTH+RUMBLE,open-8,B-L,S,S,N,,MOV,ASL_2008_08_06,27,3476,3516,,MOV
,Brady,EARTH+RUMBLE,EARTH+RUMBLE,open-8,Rlxd,S,S,N,,MOV,ASL_2011_06_14_Brady,9,6674,6707,,MOV
#ED,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,#ED,#ED,E,E,D,D,N,,MOV,ASL_2010_08_10_Liz_additional_lexicon_signs,11,475,530,,MOV
,Tyler,#ED,#ED,loose-E,loose-E,D,D,N,MOV,MOV,ASL_2008_05_29a,8,3115,3140,MOV,MOV
,Naomi,#ED,#ED,E,E,D,D,N,,MOV,ASL_2008_08_06,28,3062,3085,,MOV
,Brady,#ED,#ED,E,E,D,D,N,,MOV,ASL_2011_06_14_Brady,10,2928,2946,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,#ED,(1h)#ED,E,,D,,N,MOV,MOV,ASL_2008_01_18,28,2550,2575,MOV,MOV
CENT+EIGHT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,CENT+EIGHT,CENT+EIGHT,1,,8,,N,,MOV,ASL_2008_01_18,29,1830,1877,,MOV
,Naomi,CENT+EIGHT,CENT+EIGHT,1,,8,,N,MOV,MOV,ASL_2008_08_06,29,1176,1200,MOV,MOV
,Brady,CENT+EIGHT,CENT+EIGHT,1,,8,,N,,MOV,ASL_2011_06_14_Brady,10,7764,7785,,MOV
ELECTRIC+AGENT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ELECTRIC+AGENT,ELECTRIC+AGENT,X,X,B-L,B-L,N,,MOV,ASL_2008_01_18,30,486,555,,MOV
,Tyler,ELECTRIC+AGENT,ELECTRIC+AGENT,X,X,B-L,B-L,N,MOV,MOV,ASL_2008_05_29a,10,256,303,MOV,MOV
,Naomi,ELECTRIC+AGENT,ELECTRIC+AGENT,X,X,B-L,B-L,N,,MOV,ASL_2008_08_06,30,259,305,,MOV
,Brady,ELECTRIC+AGENT,ELECTRIC+AGENT,X,X,B-L,B-L,N,,MOV,ASL_2011_06_14_Brady,11,1981,2014,,MOV
OPPOSITE+AGENT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,OPPOSITE+AGENT,OPPOSITE+AGENT,1,1,B-L,B-L,N,,MOV,ASL_2008_01_18,31,1395,1450,,MOV
,Naomi,OPPOSITE+AGENT,OPPOSITE+AGENT,bent-1,bent-1,B-L,B-L,N,MOV,MOV,ASL_2008_08_06,31,1955,1990,MOV,MOV
,Brady,OPPOSITE+AGENT,OPPOSITE+AGENT,1,1,B-L,B-L,N,,MOV,ASL_2011_06_14_Brady,12,525,552,,MOV
CAR+ENGINE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,CAR+ENGINE,CAR+ENGINE+,S,S,S,S,N,MOV,MOV,ASL_2008_01_18,31,4478,4577,MOV,MOV
CAR+TRUNK,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Brady,CAR+TRUNK,CAR+TRUNK,S,S,crvd-B,B,N,MOV,MOV,ASL_2011_06_14_Brady,12,1916,1978,MOV,MOV
ENGINEERING+AGENT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ENGINEERING+AGENT,ENGINEERING+AGENT,Y,Y,B-L,B-L,N,,MOV,ASL_2008_01_18,32,182,237,,MOV
,Naomi,ENGINEERING+AGENT,ENGINEERING+AGENT,Y,Y,B-L,B-L,N,MOV,MOV,ASL_2008_08_06,31,3440,3475,MOV,MOV
,Brady,ENGINEERING+AGENT,ENGINEERING+AGENT,Y,Y,B-L,B-L,N,,MOV,ASL_2011_06_14_Brady,12,4591,4628,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,ENGINEERING+AGENT,(2h)alt.ENGINEERING+AGENT,Y,Y,B-L,B-L,N,MOV,MOV,ASL_2008_05_29a,11,3616,3680,MOV,MOV
ANY+WHERE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ANY+WHERE,EACH+WHERE,10,10,1,10,N,MOV,MOV,ASL_2008_01_18,35,485,538,MOV,MOV
,Naomi,ANY+WHERE,EACH+WHERE,10,10,1,10,N,,MOV,ASL_2008_08_06,35,154,187,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Liz,ANY+WHERE,ANY+WHERE,A,,1,,N,,MOV,ASL_2008_01_11,16,458,499,,MOV
,Tyler,ANY+WHERE,ANY+WHERE,A,,1,,N,,MOV,ASL_2008_05_12a,12,929,966,,MOV
,Tyler,ANY+WHERE,ANY+WHERE,10,,1,,N,MOV,MOV,ASL_2008_05_29a,15,261,300,MOV,MOV
,Naomi,ANY+WHERE,ANY+WHERE,A,,1,,N,,MOV,ASL_2008_08_04,12,735,767,,MOV
,Brady,ANY+WHERE,ANY+WHERE,10,,1,,N,,MOV,ASL_2011_06_14_Brady,2,2658,2688,,MOV
,Brady,ANY+WHERE,ANY+WHERE,10,,1,,N,,MOV,ASL_2011_06_14_Brady,14,721,751,,MOV
THINK+PASS-OUT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,THINK+(2h)PASS-OUT,THINK+(2h)PASS-OUT,1,,S,S,N,,MOV,ASL_2008_01_18,37,1898,1973,,MOV
,Naomi,THINK+(2h)PASS-OUT,THINK+(2h)PASS-OUT,1,,cocked-S,S,N,MOV,MOV,ASL_2008_08_06,37,1823,1852,MOV,MOV
,Brady,THINK+(2h)PASS-OUT,THINK+(2h)PASS-OUT,1,,S,S,N,,MOV,ASL_2011_06_14_Brady,15,5885,5919,,MOV
FARM+AGENT,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,FARM+AGENT,FARM+AGENT,5,B-L,B-L,B-L,N,,MOV,ASL_2008_01_18,38,2177,2245,,MOV
,Naomi,FARM+AGENT,FARM++AGENT,5,B-L,B-L,B-L,N,MOV,MOV,ASL_2008_08_06,38,2539,2590,MOV,MOV
,Brady,FARM+AGENT,FARM+AGENT,5,B-L,B-L,B-L,N,,MOV,ASL_2011_06_14_Brady,16,4074,4110,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Tyler,FARM+AGENT,FARM_2+AGENT,5,B-L,B-L,B-L,N,MOV,MOV,ASL_2008_05_29a,18,3167,3210,MOV,MOV
FIFTH,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,FIFTH,FIFTH,5,,5,,N,,MOV,ASL_2008_01_18,40,1592,1622,,MOV
,Liz,FIFTH,FIFTH,5,,5,,N,,MOV,ASL_2008_01_18,43,1225,1247,,MOV
,Liz,FIFTH,FIFTH,5,,5,,N,,MOV,ASL_2010_08_10_Liz_additional_lexicon_signs,11,2710,2740,,MOV
,Liz,FIFTH,FIFTH,5,,5,,N,,MOV,ASL_2010_08_10_Liz_additional_lexicon_signs,15,795,830,,MOV
,Liz,FIFTH,FIFTH,5,,5,,N,,MOV,ASL_2010_08_10_Liz_additional_lexicon_signs,18,885,925,,MOV
,Tyler,FIFTH,FIFTH+,5,,5,,N,,MOV,ASL_2008_05_29a,20,2655,2720,,MOV
,Naomi,FIFTH,FIFTH,5,,5,,N,,MOV,ASL_2008_08_06,40,2485,2501,,MOV
,Naomi,FIFTH,FIFTH,5,,5,,N,MOV,MOV,ASL_2008_08_06,43,1170,1192,MOV,MOV
,Brady,FIFTH,FIFTH,5,,5,,N,,MOV,ASL_2011_06_08_Brady,4,265,280,,MOV
,Brady,FIFTH,FIFTH,5,,5,,N,,MOV,ASL_2011_06_08_Brady,4,725,739,,MOV
,Brady,FIFTH,FIFTH,5,,5,,N,,MOV,ASL_2011_06_08_Brady,4,1413,1429,,MOV
,Brady,FIFTH,FIFTH,5,,5,,N,,MOV,ASL_2011_06_08_Brady,5,10708,10719,,MOV
,Brady,FIFTH,FIFTH,5,,5,,N,,MOV,ASL_2011_06_08_Brady,6,734,750,,MOV
,Brady,FIFTH,FIFTH,5,,5,,N,,MOV,ASL_2011_06_14_Brady,17,6839,6859,,MOV
,Brady,FIFTH,FIFTH,5,,5,,N,,MOV,ASL_2011_06_14_Brady,19,2369,2379,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Brady,FIFTH,FIFTH_2,5,,5,,N,MOV,MOV,ASL_2011_06_08_Brady,6,462,473,MOV,MOV
,Brady,FIFTH,FIFTH_2,5,,5,,N,,MOV,ASL_2011_06_08_Brady,6,981,1002,,MOV
FIVE-DOLLARS,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,FIVE-DOLLARS,FIVE-DOLLARS,5,,5,,N,,MOV,ASL_2010_08_10_Liz_additional_lexicon_signs,11,2851,2880,,MOV
,Tyler,FIVE-DOLLARS,FIVE-DOLLARS,5,,5,,N,MOV,MOV,ASL_2008_05_29a,23,1027,1050,MOV,MOV
,Brady,FIVE-DOLLARS,FIVE-DOLLARS++,5,,5,,N,,MOV,ASL_2011_06_08_Brady,6,127,155,,MOV
FIFTH-PLACE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,FIFTH-PLACE,FIFTH-PLACE,5,,5,,N,MOV,MOV,ASL_2010_08_10_Liz_additional_lexicon_signs,11,2985,3030,MOV,MOV
,Liz,FIFTH-PLACE,FIFTH-PLACE,5,,5,,N,,MOV,ASL_2010_08_10_Liz_additional_lexicon_signs,13,705,746,,MOV
FIRE/BURN+PLACE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,FIRE/BURN+PLACE,FIRE/BURN+PLACE,crvd-5,crvd-5,P/K,P/K,N,,MOV,ASL_2008_01_18,42,2254,2335,,MOV
,Tyler,FIRE/BURN+PLACE,FIRE/BURN+PLACE,5,5,P/K,P/K,N,MOV,MOV,ASL_2008_05_29a,22,2964,3008,MOV,MOV
,Naomi,FIRE/BURN+PLACE,FIRE/BURN+PLACE,A,10,P/K,P/K,N,,MOV,ASL_2008_08_06,42,1787,1846,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Brady,FIRE/BURN+PLACE,(2h)alt.FIRE+PLACE,5,5,P/K,P/K,N,MOV,MOV,ASL_2011_06_14_Brady,18,7191,7235,MOV,MOV
FIRST,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,FIRST,FIRST,1,,1,,N,,MOV,ASL_2010_08_10_Liz_additional_lexicon_signs,18,321,365,,MOV
,Tyler,FIRST,FIRST,1,,1,,N,MOV,MOV,ASL_2008_05_29a,22,3190,3211,MOV,MOV
,Brady,FIRST,FIRST,1,,1,,N,,MOV,ASL_2011_06_08_Brady,5,1615,1631,,MOV
,Brady,FIRST,FIRST,1,,1,,N,,MOV,ASL_2011_06_08_Brady,5,1740,1750,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Brady,FIRST,FIRST_2,1,,1,,N,MOV,MOV,ASL_2011_06_08_Brady,5,916,927,MOV,MOV
FIRST-IN-LIST,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,FIRST-IN-LIST,FIRST-IN-LIST,1,10,1,10,N,,MOV,ASL_2008_01_18,42,2475,2500,,MOV
,Liz,FIRST-IN-LIST,FIRST-IN-LIST,1,10,1,10,N,,MOV,ASL_2008_02_15,48,865,915,,MOV
,Naomi,FIRST-IN-LIST,FIRST-IN-LIST,1,10,1,10,N,MOV,MOV,ASL_2008_08_06,42,2107,2136,MOV,MOV
,Brady,FIRST-IN-LIST,FIRST-IN-LIST,1,10,1,10,N,,MOV,ASL_2011_06_14_Brady,19,70,85,,MOV
,Lana,FIRST-IN-LIST,FIRST-IN-LIST,1,10,1,10,N,,MOV,ASL_2006_10_10,9,2834,2844,,MOV
,Dana,FIRST-IN-LIST,FIRST-IN-LIST,1,10,1,10,N,,MOV,ASL_2007_05_24,13,3251,3304,,MOV
 ,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------
,Brady,FIRST-IN-LIST,(nd-1)FIRST-IN-LIST,1,1,1,1,N,MOV,MOV,ASL_2011_07_19_Brady,42,1053,1063,MOV,MOV
FIRST-PLACE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,FIRST-PLACE,FIRST-PLACE,1,,1,,N,MOV,MOV,ASL_2010_08_10_Liz_additional_lexicon_signs,13,125,180,MOV,MOV
,Brady,FIRST-PLACE,FIRST-PLACE,1,,bent-1,,N,,MOV,ASL_2011_06_08_Brady,4,15297,15322,,MOV
ns-#FLA,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ns-#FLA,ns-#FLA,F/9,,A,,N,,MOV,ASL_2008_01_18,43,1840,1860,,MOV
,Tyler,ns-#FLA,ns-#FLA,F/9,,A,,N,MOV,MOV,ASL_2008_05_29a,23,1960,1985,MOV,MOV
,Naomi,ns-#FLA,ns-#FLA,F/9,,A,,N,,MOV,ASL_2008_08_06,43,1970,1995,,MOV
,Brady,ns-#FLA,ns-#FLA,F/9,,A,,N,,MOV,ASL_2011_06_14_Brady,19,4758,4771,,MOV
MIND+OFF-COURSE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,MIND+OFF-COURSE,MIND+OFF-COURSE,1,,crvd-B,B-L,N,,MOV,ASL_2008_01_18,44,1991,2047,,MOV
,Tyler,MIND+OFF-COURSE,MIND+OFF-COURSE,L,,10,B-L,N,MOV,MOV,ASL_2008_05_29a,24,3315,3337,MOV,MOV
,Naomi,MIND+OFF-COURSE,MIND+OFF-COURSE,1,B-L,10,B-L,N,,MOV,ASL_2008_08_06,44,2550,2580,,MOV
THINK+GRAB-CHANCE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Brady,THINK+GRAB-CHANCE,THINK+GRAB-CHANCE,1,B-L,S,B-L,N,MOV,MOV,ASL_2011_06_14_Brady,20,1280,1311,MOV,MOV
PAPER+SQUARE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,PAPER++SQUARE,PAPER++SQUARE,5,5,1,1,N,,MOV,ASL_2008_01_18,48,1120,1227,,MOV
,Tyler,PAPER++SQUARE,PAPER++SQUARE,5,5,1,1,N,MOV,MOV,ASL_2008_05_29a,28,897,960,MOV,MOV
,Brady,PAPER++SQUARE,PAPER++SQUARE,5,5,1,1,N,,MOV,ASL_2011_06_14_Brady,22,1357,1419,,MOV
FORTY,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,FORTY,FORTY,4,,O,,N,,MOV,ASL_2008_01_18,48,1881,1900,,MOV
,Tyler,FORTY,FORTY++,4,,O,,N,MOV,MOV,ASL_2008_05_29a,28,2100,2145,MOV,MOV
,Naomi,FORTY,FORTY,4,,O,,N,,MOV,ASL_2008_08_06,48,3110,3125,,MOV
,Brady,FORTY,FORTY,4,,full-M,,N,,MOV,ASL_2011_06_14_Brady,22,2678,2693,,MOV
#FF,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,#FF,#FF,F/9,,F/9,,N,,MOV,ASL_2008_01_18,49,1760,1795,,MOV
,Tyler,#FF,#FF,F/9,,F/9,,N,,MOV,ASL_2008_05_29a,30,1545,1567,,MOV
,Naomi,#FF,#FF,F/9,,F/9,,N,MOV,MOV,ASL_2008_08_06,49,1341,1365,MOV,MOV
,Brady,#FF,#FF,F/9,,F/9,,N,,MOV,ASL_2011_06_14_Brady,23,879,891,,MOV
,Dana,#FF,#FF,F/9,,F/9,,N,,MOV,ASL_2007_05_24,15,2411,2459,,MOV
