consultant,gloss,gloss_variant,session,scene,start,end
Liz,#ED,(1h)#ED,ASL_2008_01_18,28,2550,2575
Liz,CENT+EIGHT,CENT+EIGHT,ASL_2008_01_18,29,1830,1877
Naomi,CENT+EIGHT,CENT+EIGHT,ASL_2008_08_06,29,1176,1200
Brady,CENT+EIGHT,CENT+EIGHT,ASL_2011_06_14_Brady,10,7764,7785
Liz,ELECTRIC+AGENT,ELECTRIC+AGENT,ASL_2008_01_18,30,486,555
Tyler,ELECTRIC+AGENT,ELECTRIC+AGENT,ASL_2008_05_29a,10,256,303
Naomi,ELECTRIC+AGENT,ELECTRIC+AGENT,ASL_2008_08_06,30,259,305
Brady,ELECTRIC+AGENT,ELECTRIC+AGENT,ASL_2011_06_14_Brady,11,1981,2014
Liz,OPPOSITE+AGENT,OPPOSITE+AGENT,ASL_2008_01_18,31,1395,1450
Naomi,OPPOSITE+AGENT,OPPOSITE+AGENT,ASL_2008_08_06,31,1955,1990
Brady,OPPOSITE+AGENT,OPPOSITE+AGENT,ASL_2011_06_14_Brady,12,525,552
Liz,CAR+ENGINE,CAR+ENGINE+,ASL_2008_01_18,31,4478,4577
Brady,CAR+TRUNK,CAR+TRUNK,ASL_2011_06_14_Brady,12,1916,1978
Liz,ENGINEERING+AGENT,ENGINEERING+AGENT,ASL_2008_01_18,32,182,237
Naomi,ENGINEERING+AGENT,ENGINEERING+AGENT,ASL_2008_08_06,31,3440,3475
Brady,ENGINEERING+AGENT,ENGINEERING+AGENT,ASL_2011_06_14_Brady,12,4591,4628
Tyler,ENGINEERING+AGENT,(2h)alt.ENGINEERING+AGENT,ASL_2008_05_29a,11,3616,3680
Liz,ANY+WHERE,EACH+WHERE,ASL_2008_01_18,35,485,538
Naomi,ANY+WHERE,EACH+WHERE,ASL_2008_08_06,35,154,187
Liz,ANY+WHERE,ANY+WHERE,ASL_2008_01_11,16,458,499
Tyler,ANY+WHERE,ANY+WHERE,ASL_2008_05_12a,12,929,966
Tyler,ANY+WHERE,ANY+WHERE,ASL_2008_05_29a,15,261,300
Naomi,ANY+WHERE,ANY+WHERE,ASL_2008_08_04,12,735,767
Brady,ANY+WHERE,ANY+WHERE,ASL_2011_06_14_Brady,2,2658,2688
Brady,ANY+WHERE,ANY+WHERE,ASL_2011_06_14_Brady,14,721,751
Liz,THINK+(2h)PASS-OUT,THINK+(2h)PASS-OUT,ASL_2008_01_18,37,1898,1973
Naomi,THINK+(2h)PASS-OUT,THINK+(2h)PASS-OUT,ASL_2008_08_06,37,1823,1852
Brady,THINK+(2h)PASS-OUT,THINK+(2h)PASS-OUT,ASL_2011_06_14_Brady,15,5885,5919
Liz,FARM+AGENT,FARM+AGENT,ASL_2008_01_18,38,2177,2245
Naomi,FARM+AGENT,FARM++AGENT,ASL_2008_08_06,38,2539,2590
Brady,FARM+AGENT,FARM+AGENT,ASL_2011_06_14_Brady,16,4074,4110
Tyler,FARM+AGENT,FARM_2+AGENT,ASL_2008_05_29a,18,3167,3210
Liz,FIFTH,FIFTH,ASL_2008_01_18,40,1592,1622
Liz,FIFTH,FIFTH,ASL_2008_01_18,43,1225,1247
Liz,FIFTH,FIFTH,ASL_2010_08_10_Liz_additional_lexicon_signs,11,2710,2740
Liz,FIFTH,FIFTH,ASL_2010_08_10_Liz_additional_lexicon_signs,15,795,830
Liz,FIFTH,FIFTH,ASL_2010_08_10_Liz_additional_lexicon_signs,18,885,925
Tyler,FIFTH,FIFTH+,ASL_2008_05_29a,20,2655,2720
Naomi,FIFTH,FIFTH,ASL_2008_08_06,40,2485,2501
Naomi,FIFTH,FIFTH,ASL_2008_08_06,43,1170,1192
Brady,FIFTH,FIFTH,ASL_2011_06_08_Brady,4,265,280
Brady,FIFTH,FIFTH,ASL_2011_06_08_Brady,4,725,739
Brady,FIFTH,FIFTH,ASL_2011_06_08_Brady,4,1413,1429
Brady,FIFTH,FIFTH,ASL_2011_06_08_Brady,5,10708,10719
Brady,FIFTH,FIFTH,ASL_2011_06_08_Brady,6,734,750
Brady,FIFTH,FIFTH,ASL_2011_06_14_Brady,17,6839,6859
Brady,FIFTH,FIFTH,ASL_2011_06_14_Brady,19,2369,2379
Brady,FIFTH,FIFTH_2,ASL_2011_06_08_Brady,6,462,473
Brady,FIFTH,FIFTH_2,ASL_2011_06_08_Brady,6,981,1002
Liz,FIVE-DOLLARS,FIVE-DOLLARS,ASL_2010_08_10_Liz_additional_lexicon_signs,11,2851,2880
Tyler,FIVE-DOLLARS,FIVE-DOLLARS,ASL_2008_05_29a,23,1027,1050
Brady,FIVE-DOLLARS,FIVE-DOLLARS++,ASL_2011_06_08_Brady,6,127,155
Liz,FIFTH-PLACE,FIFTH-PLACE,ASL_2010_08_10_Liz_additional_lexicon_signs,11,2985,3030
Liz,FIFTH-PLACE,FIFTH-PLACE,ASL_2010_08_10_Liz_additional_lexicon_signs,13,705,746
Liz,FIRE/BURN+PLACE,FIRE/BURN+PLACE,ASL_2008_01_18,42,2254,2335
Tyler,FIRE/BURN+PLACE,FIRE/BURN+PLACE,ASL_2008_05_29a,22,2964,3008
Naomi,FIRE/BURN+PLACE,FIRE/BURN+PLACE,ASL_2008_08_06,42,1787,1846
Brady,FIRE/BURN+PLACE,(2h)alt.FIRE+PLACE,ASL_2011_06_14_Brady,18,7191,7235
Liz,FIRST,FIRST,ASL_2010_08_10_Liz_additional_lexicon_signs,18,321,365
Tyler,FIRST,FIRST,ASL_2008_05_29a,22,3190,3211
Brady,FIRST,FIRST,ASL_2011_06_08_Brady,5,1615,1631
Brady,FIRST,FIRST,ASL_2011_06_08_Brady,5,1740,1750
Brady,FIRST,FIRST_2,ASL_2011_06_08_Brady,5,916,927
Liz,FIRST-IN-LIST,FIRST-IN-LIST,ASL_2008_01_18,42,2475,2500
Liz,FIRST-IN-LIST,FIRST-IN-LIST,ASL_2008_02_15,48,865,915
Naomi,FIRST-IN-LIST,FIRST-IN-LIST,ASL_2008_08_06,42,2107,2136
Brady,FIRST-IN-LIST,FIRST-IN-LIST,ASL_2011_06_14_Brady,19,70,85
Lana,FIRST-IN-LIST,FIRST-IN-LIST,ASL_2006_10_10,9,2834,2844
Dana,FIRST-IN-LIST,FIRST-IN-LIST,ASL_2007_05_24,13,3251,3304
Brady,FIRST-IN-LIST,(nd-1)FIRST-IN-LIST,ASL_2011_07_19_Brady,42,1053,1063
Liz,FIRST-PLACE,FIRST-PLACE,ASL_2010_08_10_Liz_additional_lexicon_signs,13,125,180
Brady,FIRST-PLACE,FIRST-PLACE,ASL_2011_06_08_Brady,4,15297,15322
Liz,ns-#FLA,ns-#FLA,ASL_2008_01_18,43,1840,1860
Tyler,ns-#FLA,ns-#FLA,ASL_2008_05_29a,23,1960,1985
Naomi,ns-#FLA,ns-#FLA,ASL_2008_08_06,43,1970,1995
Brady,ns-#FLA,ns-#FLA,ASL_2011_06_14_Brady,19,4758,4771
Liz,MIND+OFF-COURSE,MIND+OFF-COURSE,ASL_2008_01_18,44,1991,2047
Tyler,MIND+OFF-COURSE,MIND+OFF-COURSE,ASL_2008_05_29a,24,3315,3337
Naomi,MIND+OFF-COURSE,MIND+OFF-COURSE,ASL_2008_08_06,44,2550,2580
Brady,THINK+GRAB-CHANCE,THINK+GRAB-CHANCE,ASL_2011_06_14_Brady,20,1280,1311
Liz,PAPER++SQUARE,PAPER++SQUARE,ASL_2008_01_18,48,1120,1227
Tyler,PAPER++SQUARE,PAPER++SQUARE,ASL_2008_05_29a,28,897,960
Brady,PAPER++SQUARE,PAPER++SQUARE,ASL_2011_06_14_Brady,22,1357,1419
Liz,FORTY,FORTY,ASL_2008_01_18,48,1881,1900
Tyler,FORTY,FORTY++,ASL_2008_05_29a,28,2100,2145
Naomi,FORTY,FORTY,ASL_2008_08_06,48,3110,3125
Brady,FORTY,FORTY,ASL_2011_06_14_Brady,22,2678,2693
Liz,#FF,#FF,ASL_2008_01_18,49,1760,1795
Tyler,#FF,#FF,ASL_2008_05_29a,30,1545,1567
Naomi,#FF,#FF,ASL_2008_08_06,49,1341,1365
Brady,#FF,#FF,ASL_2011_06_14_Brady,23,879,891
Dana,#FF,#FF,ASL_2007_05_24,15,2411,2459
Lana,#FF,#FF_2,ASL_2006_10_10,11,2476,2500
Liz,"ICL:S""handling something long and narrow""","ICL:S""handling something long and narrow""+",ASL_2008_02_01,2,2972,3047
Naomi,"ICL:S""handling something long and narrow""","ICL:X""handling something long and narrow""",ASL_2008_08_13,2,2475,2535
Liz,GIRL+FRIEND,GIRL+FRIEND,ASL_2008_02_01,4,2625,2676
Tyler,GIRL+FRIEND,GIRL+FRIEND,ASL_2008_05_29a,36,2179,2212
Naomi,GIRL+FRIEND,GIRL+FRIEND,ASL_2008_08_13,4,3623,3669
Brady,GIRL+FRIEND,GIRL+FRIEND,ASL_2011_06_14_Brady,26,574,596
Lana,GIRL+FRIEND,GIRL+FRIEND,ASL_2006_10_10,11,2615,2665
Dana,GIRL+FRIEND,GIRL+FRIEND,ASL_2007_05_24,15,2540,2607
Liz,GOOD+LUCKY,GOOD+LUCKY,ASL_2008_02_01,9,464,497
Tyler,GOOD+LUCKY,GOOD+LUCKY,ASL_2008_05_29a,39,2475,2510
Naomi,GOOD+LUCKY,GOOD+LUCKY,ASL_2008_08_13,8,259,282
Tyler,GOOD+MORNING,GOOD+MORNING,ASL_2008_05_29a,40,575,615
Naomi,GOOD+MORNING,GOOD+MORNING,ASL_2008_08_13,8,607,649
Liz,GOOD+MORNING,(1h)GOOD/THANK-YOU+MORNING,ASL_2008_02_01,9,672,710
Liz,GOOD+MORNING,(1h)GOOD/THANK-YOU+(1h)MORNING,ASL_2008_02_01,9,893,920
Tyler,GOOD+MORNING,(1h)GOOD/THANK-YOU+(1h)MORNING,ASL_2008_05_29a,40,818,843
Naomi,GOOD+MORNING,(1h)GOOD/THANK-YOU+(1h)MORNING,ASL_2008_08_13,8,880,914
Tyler,GOOD+NIGHT,GOOD+NIGHT,ASL_2008_05_29a,40,1044,1081
Liz,GOOD+NIGHT,(1h)GOOD/THANK-YOU+NIGHT,ASL_2008_02_01,9,1107,1146
Naomi,GOOD+NIGHT,(1h)GOOD/THANK-YOU+NIGHT,ASL_2008_08_13,8,1160,1190
Liz,EAT++SELL,EAT++SELL+,ASL_2008_02_01,12,1665,1715
Naomi,EAT++SELL,EAT+SELL+,ASL_2008_08_13,10,5245,5293
Brady,EAT++SELL,EAT+SELL++,ASL_2011_06_14_Brady,29,4857,4900
Tyler,EAT+BUY,EAT+BUY++,ASL_2008_05_29a,42,2165,2220
Brady,EAT+BUY,EAT+BUY++,ASL_2011_06_14_Brady,29,5087,5140
Liz,CARE++AGENT,CARE++AGENT,ASL_2008_02_01,13,452,513
Naomi,CARE++AGENT,CARE++AGENT,ASL_2008_08_13,11,366,412
Brady,CARE++AGENT,CARE++AGENT,ASL_2011_06_14_Brady,29,6333,6365
Liz,#PE,#PE,ASL_2008_02_01,13,3275,3320
Naomi,#PE,#PE,ASL_2008_08_13,11,3351,3385
Brady,#PE,#PE,ASL_2011_06_14_Brady,30,3107,3120
Brady,#PE,(2h)#PE,ASL_2011_06_14_Brady,30,3800,3820
Liz,#HR,#HR,ASL_2008_02_01,15,825,865
Tyler,#HR,#HR,ASL_2008_05_29a,44,800,825
Naomi,#HR,#HR,ASL_2008_08_13,12,1176,1208
Brady,#HR,#HR,ASL_2011_06_14_Brady,30,5005,5016
Liz,HALF,HALF,ASL_2008_02_01,15,2247,2290
Liz,HALF,HALF,ASL_2008_02_15,24,2610,2650
Tyler,HALF,HALF,ASL_2008_05_29a,44,4125,4150
Brady,HALF,HALF,ASL_2011_06_14_Brady,30,8634,8654
Brady,HALF,HALF,ASL_2011_07_19_Brady,19,3542,3566
Brady,HALF,HALF,ASL_2011_07_19_Brady,20,190,212
Liz,HALF,HALF_2,ASL_2008_02_15,24,2821,2865
Liz,HALF-HALF,HALF-HALF,ASL_2010_08_10_Liz_additional_lexicon_signs,16,1115,1157
Brady,HALF-HALF,HALF-HALF,ASL_2011_06_14_Brady,30,9474,9505
Liz,SECRET+HIDE,SECRET+HIDE,ASL_2008_02_01,22,560,611
Tyler,SECRET+HIDE,SECRET+HIDE,ASL_2008_05_29a,50,246,280
Naomi,SECRET+HIDE,SECRET+HIDE,ASL_2008_08_13,18,295,329
Brady,SECRET+HIDE,SECRET+HIDE,ASL_2011_06_14_Brady,34,246,269
Lana,SECRET+HIDE,SECRET+HIDE,ASL_2006_10_10,12,2866,2912
Liz,"SCL:F""small circle""","SCL:F""small circle""",ASL_2008_02_01,23,1052,1090
Naomi,"SCL:F""small circle""","SCL:F""small circle""",ASL_2008_08_13,19,1560,1633
Tyler,"SCL:F""small circle""","(2h)SCL:F""small circle""",ASL_2008_05_29a,51,1275,1310
Liz,HORSE+RIDE-ON,HORSE+RIDE-ON+,ASL_2008_02_01,24,2163,2255
Naomi,HORSE+RIDE-ON,HORSE+RIDE-ON+,ASL_2008_08_13,20,6999,7057
Brady,HORSE+RIDE-ON,HORSE+RIDE-ON+,ASL_2011_06_14_Brady,56,321,376
Tyler,HORSE+RIDE-ON,(2h)HORSE+RIDE-ON+,ASL_2008_05_29a,52,3313,3368
Tyler,HORSE+RIDE-ON,(2h)HORSE++RIDE-ON++,ASL_2008_06_10,12,3387,3454
Liz,HUNDRED,HUNDRED,ASL_2008_02_01,26,1920,1970
Naomi,HUNDRED,HUNDRED,ASL_2008_08_13,22,2807,2845
Brady,HUNDRED,HUNDRED,ASL_2011_06_14_Brady,37,8781,8807
Tyler,THINK+MEAN,THINK+MEAN,ASL_2008_05_29b,7,2431,2467
Naomi,THINK+MEAN,THINK+MEAN,ASL_2008_08_13,27,2090,2135
Liz,THINK+MEAN,(V)THINK+MEAN,ASL_2008_02_01,33,797,855
Brady,THINK+MEAN,(V)THINK+MEAN,ASL_2011_06_14_Brady,40,6902,6937
Liz,INTERPRET++AGENT,INTERPRET++AGENT,ASL_2008_02_01,34,1165,1210
Tyler,INTERPRET++AGENT,INTERPRET++AGENT,ASL_2008_05_29b,8,667,702
Naomi,INTERPRET++AGENT,INTERPRET+AGENT,ASL_2008_08_13,28,793,829
Brady,INTERPRET++AGENT,INTERPRET++AGENT,ASL_2011_06_14_Brady,41,1944,1981
Liz,#JOB,#JOB,ASL_2008_02_01,37,2185,2216
Brady,#JOB,#JOB,ASL_2011_06_14_Brady,43,4192,4203
Lana,#JOB,#JOB,ASL_2006_10_10,2,1090,1103
Naomi,#JOB,#JOB_2,ASL_2008_08_13,31,1507,1522
Dana,#JOB,#JOB_2,ASL_2007_05_24,5,1309,1361
Liz,COURT+AGENT,COURT+AGENT,ASL_2008_02_01,38,277,330
Naomi,COURT+AGENT,COURT+AGENT,ASL_2008_08_13,31,4510,4555
Brady,COURT+AGENT,COURT+AGENT,ASL_2011_06_14_Brady,43,6654,6693
Liz,ns-#KC,ns-#KC,ASL_2008_02_01,38,5480,5521
Tyler,ns-#KC,ns-#KC,ASL_2008_05_29b,12,2645,2656
Naomi,ns-#KC,ns-#KC,ASL_2008_08_13,32,3140,3155
Brady,ns-#KC,ns-#KC,ASL_2011_06_14_Brady,44,1487,1506
Liz,KING+AREA_2,KING+AREA_2,ASL_2008_02_01,41,2195,2270
Tyler,KING+AREA_2,KING+AREA_2,ASL_2008_05_29b,14,1881,1955
Naomi,KING+AREA_2,KING+AREA,ASL_2008_08_13,34,3920,4010
Brady,KING+AREA_2,KING+AREA,ASL_2011_06_14_Brady,45,1143,1196
Liz,COOK/KITCHEN+BOX/ROOM,COOK/KITCHEN+BOX/ROOM,ASL_2010_08_10_Liz_additional_lexicon_signs,12,735,815
Brady,COOK/KITCHEN+BOX/ROOM,COOK/KITCHEN+BOX/ROOM,ASL_2011_06_14_Brady,45,2333,2372
Liz,"SCL:V""person walking up ladder""","SCL:V""person walking up ladder""",ASL_2008_02_01,43,840,896
Naomi,"SCL:V""person walking up ladder""","SCL:V""person walking up ladder""",ASL_2008_08_13,36,340,390
Liz,PAST+NIGHT,PAST+NIGHT,ASL_2008_02_01,44,235,280
Tyler,PAST+NIGHT,PAST+NIGHT,ASL_2008_05_29b,16,2625,2650
Naomi,PAST+NIGHT,PAST+NIGHT,ASL_2008_08_13,36,3671,3697
Brady,PAST+NIGHT,PAST+NIGHT,ASL_2011_06_14_Brady,46,5556,5582
Liz,LAW+AGENT,LAW+AGENT,ASL_2008_02_01,44,1905,1976
Tyler,LAW+AGENT,LAW+AGENT,ASL_2008_05_29b,17,2023,2077
Naomi,LAW+AGENT,LAW+AGENT,ASL_2008_08_13,37,4067,4127
Brady,LAW+AGENT,LAW+AGENT,ASL_2011_06_14_Brady,47,2686,2722
Liz,LIBRARY+AGENT,LIBRARY+AGENT,ASL_2008_02_01,48,1200,1255
Tyler,LIBRARY+AGENT,LIBRARY+AGENT,ASL_2008_05_29b,20,946,988
Naomi,LIBRARY+AGENT,LIBRARY+AGENT,ASL_2008_08_13_session2,3,1252,1305
Brady,LIBRARY+AGENT,LIBRARY+AGENT,ASL_2011_06_14_Brady,48,5554,5591
Liz,LIGHT+LIGHT-ON,LIGHT+LIGHT-ON,ASL_2008_02_01,49,3049,3101
Tyler,LIGHT+LIGHT-ON,LIGHT++LIGHT-ON,ASL_2008_06_10,1,2130,2175
Naomi,LIGHT+LIGHT-ON,LIGHT+LIGHT-ON,ASL_2008_08_13_session2,4,3650,3705
Liz,LIGHT+LIGHT-OUT,LIGHT+LIGHT-OUT,ASL_2008_02_01,50,576,663
Tyler,LIGHT+LIGHT-OUT,LIGHT++LIGHT-OUT,ASL_2008_06_10,1,2323,2372
Naomi,LIGHT+LIGHT-OUT,LIGHT+LIGHT-OUT,ASL_2008_08_13_session2,4,3935,3967
Liz,LIKE+(1h)NEG,LIKE+(1h)NEG,ASL_2008_01_18,22,1104,1142
Liz,LIKE+(1h)NEG,LIKE+(1h)NEG,ASL_2010_08_10_Liz_additional_lexicon_signs,27,993,1050
Tyler,LIKE+(1h)NEG,LIKE+(1h)NEG,ASL_2008_05_29a,2,1478,1508
Naomi,LIKE+(1h)NEG,LIKE+(1h)NEG,ASL_2008_08_06,22,1016,1037
Brady,LIKE+(1h)NEG,LIKE+(1h)NEG,ASL_2011_06_08_Brady,36,1870,1885
Brady,LIKE+(1h)NEG,LIKE+(1h)NEG,ASL_2011_06_08_Brady,38,1704,1723
Lana,LIKE+(1h)NEG,LIKE+(1h)NEG,ASL_2006_10_10,7,1300,1350
Dana,LIKE+(1h)NEG,LIKE+(1h)NEG,ASL_2007_05_24,11,1354,1414
Liz,FANCY+BOX/ROOM,FANCY+BOX/ROOM,ASL_2008_02_01,51,1980,2047
Naomi,FANCY+BOX/ROOM,FANCY+BOX/ROOM,ASL_2008_08_13_session2,6,2348,2414
Brady,FANCY+BOX/ROOM,FANCY+BOX/ROOM,ASL_2011_06_14_Brady,50,3282,3340
Tyler,(L)LIVE+BOX/ROOM,(L)LIVE+BOX/ROOM,ASL_2008_06_10,3,1945,1993
Brady,(L)LIVE+BOX/ROOM,(L)LIVE+BOX/ROOM,ASL_2011_06_14_Brady,50,3574,3600
Liz,"BREAD+DCL""rounded rectangle""","BREAD+DCL""rounded rectangle""",ASL_2008_02_01,51,2433,2490
Tyler,"BREAD+DCL""rounded rectangle""","BREAD+DCL""rounded rectangle""",ASL_2008_06_10,3,2265,2317
Naomi,"BREAD+DCL""rounded rectangle""","BREAD+DCL""rounded rectangle""",ASL_2008_08_13_session2,6,2895,2954
Brady,"BREAD+DCL""rounded rectangle""","BREAD+DCL""rounded rectangle""",ASL_2011_06_14_Brady,50,3824,3871
Liz,FACE+STRONG,FACE+STRONG,ASL_2008_02_01,53,828,892
Naomi,FACE+STRONG,FACE+STRONG,ASL_2008_08_13_session2,8,780,824
Brady,FACE+STRONG,FACE+STRONG,ASL_2011_06_14_Brady,51,3107,3139
Liz,FACE+SAME,FACE+SAME,ASL_2008_02_01,53,1121,1160
Tyler,FACE+SAME,FACE+SAME,ASL_2008_06_10,5,1610,1643
Naomi,FACE+SAME,FACE+SAME,ASL_2008_08_13_session2,8,1016,1028
Brady,FACE+SAME,FACE+SAME,ASL_2011_06_14_Brady,51,3366,3394
Tyler,FACE+SAME,(5)FACE+SAME,ASL_2008_06_10,5,797,844
Liz,ns-#LA,ns-#LA,ASL_2008_02_01,54,816,846
Tyler,ns-#LA,ns-#LA,ASL_2008_06_10,6,1177,1210
Naomi,ns-#LA,ns-#LA,ASL_2008_08_13_session2,9,875,895
Liz,EAT+NOON,EAT+NOON,ASL_2008_02_01,55,2290,2336
Tyler,EAT+NOON,EAT+NOON,ASL_2008_06_10,7,1827,1861
Naomi,EAT+NOON,EAT+NOON,ASL_2008_08_13_session2,10,2869,2907
Brady,EAT+NOON,EAT+NOON,ASL_2011_06_14_Brady,53,295,328
Lana,EAT+NOON,EAT+NOON,ASL_2006_10_10,16,1534,1577
Dana,EAT+NOON,EAT+NOON,ASL_2007_05_24,19,1533,1595
Liz,#MW,#MW,ASL_2008_02_01,56,1181,1205
Liz,"BOY+DCL""round flat""","BOY+DCL""round flat""",ASL_2008_02_01,57,2570,2637
Naomi,"BOY+DCL""round flat""","BOY+DCL""round flat""",ASL_2008_08_13_session2,12,3021,3058
Brady,BED+CUSHION,BED+CUSHION+++,ASL_2011_06_14_Brady,54,7453,7500
Liz,BED+CUSHION,(2h)BED+CUSHION++,ASL_2008_02_15,1,560,629
Tyler,"fs-MAYO+ICL""spread with knife""","fs-MAYO+ICL""spread with knife""",ASL_2008_06_10,11,840,931
Liz,"HORSE+ICL:S""holding moving pole""","HORSE+ICL:S""holding moving pole""+",ASL_2008_02_15,3,315,441
Brady,"HORSE+ICL:S""holding moving pole""","HORSE+ICL:S""holding moving pole""++",ASL_2011_06_14_Brady,56,722,815
Tyler,"HORSE+ICL:S""holding moving pole""","(2h)HORSE++ICL:S""holding moving pole""+",ASL_2008_06_10,12,4720,4803
Tyler,STORY++AGENT,STORY++AGENT,ASL_2008_06_10,13,1853,1895
Brady,STORY++AGENT,STORY++AGENT,ASL_2011_06_14_Brady,56,1906,1936
Liz,MOTIVATE++AGENT,MOTIVATE++AGENT,ASL_2008_02_15,3,4110,4191
Brady,MOTIVATE++AGENT,MOTIVATE++AGENT,ASL_2011_06_14_Brady,56,3272,3318
Liz,MILLION+AGENT,MILLION+AGENT,ASL_2008_02_15,5,962,1040
Brady,MILLION+AGENT,MILLION+AGENT,ASL_2011_07_19_Brady,2,2767,2823
Tyler,MILLION_2+AGENT,MILLION_2+AGENT,ASL_2008_06_10,15,498,558
Tyler,OLD+LESS-THAN,OLD+LESS-THAN,ASL_2008_06_10,15,6383,6419
Brady,OLD+LESS-THAN,OLD++LESS-THAN,ASL_2011_07_19_Brady,3,688,741
Liz,OLD+LESS-THAN,(S)OLD+LESS-THAN,ASL_2008_02_15,5,6445,6519
Liz,MOTHER+LAW,MOTHER+LAW,ASL_2008_02_15,10,3762,3820
Tyler,MOTHER+LAW,MOTHERwg+LAW,ASL_2008_06_10,19,3915,3955
Tyler,THINK+FOCUS/NARROW,THINK+FOCUS/NARROW,ASL_2008_06_10,23,944,987
Liz,NEXT+AGENT,NEXT+AGENT,ASL_2008_02_15,16,3140,3236
Liz,NEW+TESTAMENT,NEW+TESTAMENT,ASL_2008_02_15,18,988,1066
Liz,CENT+FIVE,CENT+FIVE,ASL_2008_02_15,19,1467,1506
Liz,BAD+DREAM,BAD+DREAM,ASL_2008_02_15,19,3225,3290
Liz,#NO,#NO,ASL_2008_02_15,19,3673,3705
Lana,#NO,#NO,ASL_2006_10_10,19,1929,1933
Dana,#NO,#NO++,ASL_2007_05_24,21,1838,1880
Liz,HEAR+NOISE,HEAR+NOISE+,ASL_2008_02_15,20,522,577
Liz,(1h)(L-X)INTERESTING+ZERO_2,(1h)(L-X)INTERESTING+ZERO_2,ASL_2008_02_15,21,1134,1203
Liz,#OK,#OK,ASL_2008_02_15,22,1095,1132
Brady,#OK,#OK,ASL_2011_07_19_Brady,17,2402,2410
Liz,#OR,#OR,ASL_2008_02_15,22,1290,1340
Brady,#OR,#OR,ASL_2011_07_19_Brady,17,2600,2612
Liz,#OFF,#OFF,ASL_2008_02_15,23,772,800
Brady,#OFF,#OFF,ASL_2011_07_19_Brady,18,1496,1514
Liz,(S)OLD+TESTAMENT,(S)OLD+TESTAMENT,ASL_2008_02_15,24,893,965
Brady,(S)OLD+TESTAMENT,OLD+TESTAMENT_2,ASL_2011_07_19_Brady,19,970,1035
Liz,ONE-FOURTH,ONE-FOURTH,ASL_2008_02_15,24,2405,2450
Brady,ONE-FOURTH,ONE-FOURTH,ASL_2011_07_19_Brady,19,2412,2432
Brady,ONE-FOURTH,ONE-FOURTH,ASL_2011_07_19_Brady,19,2960,2984
Liz,ONE-FOURTH,ONE-FOURTH_2,ASL_2008_02_15,24,2185,2222
Brady,ONE+MORE,ONE+MORE++,ASL_2011_07_19_Brady,20,1098,1140
Liz,ONE-MORE,ONE-MORE++,ASL_2008_02_15,25,725,755
Brady,ONE-MORE,ONE-MORE++,ASL_2011_07_19_Brady,20,1336,1390
Brady,ONE-MORE,ONE-MORE++,ASL_2011_07_19_Brady,20,1714,1746
Brady,ONE-MORE,ONE-MORE++,ASL_2011_07_19_Brady,20,2224,2262
Liz,ONE-THIRD,ONE-THIRD,ASL_2008_02_15,25,1125,1170
Brady,ONE-THIRD,ONE-THIRD,ASL_2011_07_19_Brady,20,2828,2842
Brady,ONE-THIRD,ONE-THIRD,ASL_2011_07_19_Brady,20,3072,3092
Liz,ONE-THIRD,ONE-THIRD_2,ASL_2008_02_15,25,951,985
Liz,ONE+THOUSAND,ONE+THOUSAND,ASL_2008_02_15,25,1340,1391
Brady,ONE+THOUSAND,ONE+THOUSAND,ASL_2011_07_19_Brady,20,3488,3510
Liz,THINK+GENERAL,THINK+GENERAL,ASL_2008_02_15,26,345,409
Brady,THINK+GENERAL,THINK+GENERAL,ASL_2011_07_19_Brady,21,713,740
Liz,MUSIC++GROUP/TOGETHER,MUSIC++GROUP/TOGETHER,ASL_2008_02_15,27,2776,2859
Liz,PAINT+AGENT,PAINT+AGENT,ASL_2008_02_15,29,1709,1780
Brady,PAINT+AGENT,PAINT+AGENT,ASL_2011_07_19_Brady,25,192,227
Liz,SLEEP+DRESS/CLOTHES,SLEEP+DRESS/CLOTHES,ASL_2008_02_15,29,1950,2007
Brady,BEAUTIFUL+DRESS/CLOTHES,BEAUTIFUL+DRESS/CLOTHES,ASL_2011_07_19_Brady,25,507,553
Liz,PAPER++CLIP,PAPER++CLIP,ASL_2008_02_15,30,3050,3133
Brady,PAPER++CLIP,PAPER++CLIP,ASL_2011_07_19_Brady,25,2070,2113
Liz,MOTHER+FATHER,MOTHER+FATHER,ASL_2008_02_15,31,900,946
Brady,MOTHER+FATHER,MOTHER+FATHER,ASL_2011_07_19_Brady,26,2091,2113
Lana,MOTHER+FATHER,MOTHER+FATHER,ASL_2006_10_10,20,2366,2398
Dana,MOTHER+FATHER,MOTHER+FATHER,ASL_2007_05_24,22,2349,2399
Liz,BECOME+QUIET,BECOME+QUIET,ASL_2008_02_15,33,797,866
Brady,BECOME+QUIET,BECOME+QUIET,ASL_2011_07_19_Brady,28,346,392
Liz,"ICL""peeling an orange""","ICL""peeling an orange""+",ASL_2008_02_15,34,645,710
Liz,"ICL""peeling skin""","ICL""peeling skin""+",ASL_2008_02_15,34,1210,1285
Liz,CENT+ONE,CENT+ONE,ASL_2008_02_15,34,4264,4294
Liz,"DCL""pile""","DCL""pile""",ASL_2008_02_15,38,3727,3785
Liz,VOICE++(1)TEMPERATURE/PITCH,VOICE++(1)TEMPERATURE/PITCH,ASL_2008_02_15,40,1841,1933
